name,memory_10,operation_10,compare_10,swap_10,time_10,memory_100,operation_100,compare_100,swap_100,time_100,memory_1000,operation_1000,compare_1000,swap_1000,time_1000,memory_10000,operation_10000,compare_10000,swap_10000,time_10000,memory_100000,operation_100000,compare_100000,swap_100000,time_100000,memory_1000000,operation_1000000,compare_1000000,swap_1000000,time_1000000
merge_sort-int_normal_array_gen,0.828,53,19,34,0.000,1.654,1130,458,672,0.001,2.312,16800,6824,9976,0.018,3.297,227954,94338,133616,0.266,4.035,2864338,1195410,1668928,3.679,5.242,34013600,14062176,19951424,46.277
merge_sort-int_uniform_array_gen,0.828,54,20,34,0.000,1.629,1120,448,672,0.001,2.312,16618,6642,9976,0.018,3.297,226981,93365,133616,0.269,4.035,2866102,1197174,1668928,3.729,4.773,34336563,14385139,19951424,46.538
merge_sort-int_asymptotic_array_gen,0.828,55,21,34,0.000,1.629,1115,443,672,0.001,2.312,16980,7004,9976,0.018,3.297,230581,96965,133616,0.280,4.035,2878544,1209616,1668928,3.651,4.773,34484684,14533260,19951424,46.720
merge_sort-double_normal_array_gen,0.828,56,22,34,0.000,1.629,1130,458,672,0.001,2.312,17009,7033,9976,0.019,3.297,230282,96666,133616,0.291,4.035,2838781,1169853,1668928,3.614,4.773,34209180,14257756,19951424,46.829
merge_sort-double_uniform_array_gen,0.828,54,20,34,0.000,1.629,1111,439,672,0.001,2.312,16901,6925,9976,0.018,3.297,226903,93287,133616,0.275,4.035,2862207,1193279,1668928,3.662,4.773,34016822,14065398,19951424,46.983
merge_sort-double_asymptotic_array_gen,0.828,52,18,34,0.000,1.629,1117,445,672,0.001,2.312,16733,6757,9976,0.018,3.297,226372,92756,133616,0.278,4.035,2851770,1182842,1668928,3.635,4.773,34525624,14574200,19951424,47.082
quick_sort-int_normal_array_gen,0.117,65,24,41,0.000,0.228,1379,613,766,0.001,1.988,24392,11393,12999,0.021,2.168,334652,156391,178261,0.311,2.857,4126123,2016531,2109592,3.986,3.320,52036560,25204123,26832437,52.485
quick_sort-int_uniform_array_gen,0.117,54,20,34,0.000,0.176,1436,656,780,0.001,1.279,23473,10789,12684,0.020,1.935,342069,160889,181180,0.326,2.372,4012061,1966509,2045552,3.830,2.865,51901036,24878983,27022053,52.513
quick_sort-int_asymptotic_array_gen,0.117,68,22,46,0.000,0.176,1601,684,917,0.001,1.333,25428,11311,14117,0.026,1.898,353013,160199,192814,0.350,2.372,4417996,2057014,2360982,4.228,2.883,52225250,24792247,27433003,53.498
quick_sort-double_normal_array_gen,0.117,66,24,42,0.000,0.176,1258,614,644,0.001,1.260,24173,10958,13215,0.023,1.844,327983,156401,171582,0.329,2.445,4133398,1991944,2141454,4.025,3.189,50593280,24963633,25629647,51.548
quick_sort-double_uniform_array_gen,0.117,58,23,35,0.000,0.176,1374,651,723,0.001,1.242,22319,10920,11399,0.020,1.880,321270,155400,165870,0.306,2.391,4253246,2017128,2236118,4.065,2.901,50969086,24916336,26052750,51.677
quick_sort-double_asymptotic_array_gen,0.117,51,23,28,0.000,0.176,1452,636,816,0.001,1.242,22426,11048,11378,0.020,1.898,328514,155777,172737,0.299,2.372,4199253,1983201,2216052,4.053,2.919,51881793,25149047,26732746,52.730
bubble_sort-int_normal_array_gen,0.141,82,45,37,0.000,0.223,9791,4950,4841,0.008,0.332,994373,499500,494873,0.902,0.332,100047456,49995000,50052456,98.508,,,,,,,,,,
bubble_sort-int_uniform_array_gen,0.141,90,45,45,0.000,0.223,9938,4950,4988,0.008,0.332,993848,499500,494348,0.897,0.332,100612414,49995000,50617414,99.120,,,,,,,,,,
bubble_sort-int_asymptotic_array_gen,0.141,68,45,23,0.000,0.223,9698,4950,4748,0.007,0.332,1002050,499500,502550,0.918,0.332,100018276,49995000,50023276,99.345,,,,,,,,,,
bubble_sort-double_normal_array_gen,0.141,89,45,44,0.000,0.223,9690,4950,4740,0.008,0.332,995910,499500,496410,0.909,0.332,99960575,49995000,49965575,99.817,,,,,,,,,,
bubble_sort-double_uniform_array_gen,0.141,87,45,42,0.000,0.223,9592,4950,4642,0.007,0.332,994752,499500,495252,0.910,0.332,100111378,49995000,50116378,100.530,,,,,,,,,,
bubble_sort-double_asymptotic_array_gen,0.141,87,45,42,0.000,0.223,9798,4950,4848,0.008,0.332,990658,499500,491158,0.954,0.332,100134900,49995000,50139900,100.254,,,,,,,,,,
insertion_sort-int_normal_array_gen,0.094,52,25,27,0.000,0.176,5157,2576,2581,0.005,0.258,523824,261909,261915,0.469,0.258,50179150,25089571,25089579,47.464,,,,,,,,,,
insertion_sort-int_uniform_array_gen,0.094,49,24,25,0.000,0.176,4971,2484,2487,0.004,0.258,506273,253133,253140,0.460,0.258,50152916,25076453,25076463,47.610,,,,,,,,,,
insertion_sort-int_asymptotic_array_gen,0.094,53,26,27,0.000,0.176,4845,2422,2423,0.005,0.258,504428,252212,252216,0.464,0.258,50124043,25062017,25062026,48.170,,,,,,,,,,
insertion_sort-double_normal_array_gen,0.094,62,30,32,0.000,0.176,5138,2567,2571,0.004,0.258,500222,250108,250114,0.460,0.258,49901351,24950669,24950682,47.676,,,,,,,,,,
insertion_sort-double_uniform_array_gen,0.094,62,30,32,0.000,0.176,5176,2586,2590,0.004,0.258,515730,257862,257868,0.454,0.258,50394357,25197174,25197183,48.135,,,,,,,,,,
insertion_sort-double_asymptotic_array_gen,0.094,57,28,29,0.000,0.176,4798,2397,2401,0.004,0.258,502988,251490,251498,0.461,0.258,50083908,25041950,25041958,48.501,,,,,,,,,,